"beta0","betaExR","omega","alpha","gamma","phi","betaGDP","betaDebt"
0.00198446875197453,0.424047657696355,-2.19854732454814,0.1790540186662,0.303904477553809,0.732025674929484,-0.123767236417757,0.286240203875533
0.00141113657535879,0.365519772424189,-1.30227510229099,0.485340284720015,0.197055173764876,0.828465233070621,-0.143085183415285,0.244287255068635
0.000956649073221239,0.368085220738665,-2.0702196115577,0.439612559365683,0.249272160685405,0.731367352296421,-0.139780418909364,0.273115612099482
0.00176315417478378,0.311841806225129,-1.84311269929722,0.54291328623563,0.198248128496265,0.753384482562196,-0.245867066749709,0.231808878699362
0.000706580702704074,0.537894450987928,-1.70298684173658,0.459533100701371,0.234316630826123,0.782475495878397,-0.10885865158307,0.310931179839498
0.000491046053719054,0.535647361060819,-1.78359590327769,0.4318154495861,0.291512569434306,0.777233888675214,-0.205229517134129,0.313919982599253
0.00034355954290447,0.391627665565001,-1.66685196942907,0.479990849422193,0.145433472632047,0.784028325924884,-0.106372363507468,0.26658531015851
0.000417399398684483,0.358888995263627,-1.65270507216508,0.469589857534633,0.135505595915069,0.788946247202321,-0.14944976553765,0.263665115667109
0.00207356453287234,0.298175961518961,-1.59050348379504,0.283616388268993,0.280173391978588,0.799999777856607,-0.202929845423831,0.134431856027358
0.00100229526432465,0.431900575234882,-1.90367816211574,0.408511174422857,0.243465258077505,0.759605536189885,-0.120867573836639,0.297886012328847
0.0014355505848626,0.379910664851012,-1.27328755438798,0.374933702102227,0.150917799163907,0.838103063226845,-0.142374741969097,0.145790323141823
0.000842216533781321,0.293809861357858,-1.68492790956811,0.441637361099168,0.325774450274543,0.78321100603207,-0.170468392590827,0.297071426257379
0.000321393700761976,0.270549011286917,-1.44759353604984,0.488160466506159,0.180774707660367,0.811840855322866,-0.0894035114808114,0.289967800038472
0.00072617227387593,0.277263882734338,-1.94136883963367,0.399940420312871,0.239441723297792,0.756371368329664,-0.117481847864691,0.328076772319128
0.000985266573602289,0.383754777319535,-1.42335492213411,0.452851020420057,0.212703401404356,0.811647145159439,-0.171959398052636,0.168176637726244
0.0014596854281479,0.472138226586081,-2.46557901330371,0.418855809358268,0.350440421660001,0.693501567111008,-0.132813145427954,0.333852611646023
0.00181900417646825,0.269452408206389,-1.79106225151606,0.383797580277443,0.255924555253533,0.769780930401831,-0.202101028082335,0.20436088877868
0.00113612488910479,0.372488366051876,-1.81567210837546,0.312380951948777,0.252626703798772,0.778951370615018,-0.0733547430724445,0.27536247559853
0.000659697066243189,0.368863421572919,-1.7933618455734,0.604711871456523,0.197098088619428,0.762698635671854,-0.0327469310964871,0.407461533876581
0.00114471410332632,0.362088141875532,-1.53251098242808,0.439832535193807,0.185794353123115,0.80148211203468,-0.150450260182629,0.194181371556011
0.00100848222148355,0.334333713194659,-1.17955694384446,0.460312977228197,0.0623444991322654,0.843085853199151,-0.161741820081477,0.187491817236128
0.00146166021948842,0.477481676691267,-1.34662249181004,0.476235581179448,0.202453987236834,0.817890604082578,-0.0657338400753546,0.26751732345072
0.000262060818949389,0.407730079118516,-1.87363320910949,0.584764528009648,0.159050449759503,0.74812759859167,-0.13583931373556,0.33980776546849
-0.000121602010599881,0.284919564288921,-1.67295165305557,0.498154277806897,0.232778258748714,0.786833614959402,-0.183578839036825,0.306212545115358
0.000261749203110046,0.291662465611796,-1.58669007553341,0.492801644490043,0.150685291003477,0.792342173861999,-0.183553042913997,0.284748458246589
0.000952693585248501,0.360227438170277,-1.56020435594759,0.449269937968085,0.202472477209648,0.797237883069648,-0.117506869463634,0.2855499216262
0.00106057295049092,0.357466235891976,-1.76846818979771,0.38614085360712,0.273007873980814,0.77907785033436,-0.119177466809205,0.353729305601554
0.00130921823105326,0.203170588012826,-2.43355329667957,0.380159001053108,0.295964590882146,0.696380909159687,-0.187313285386206,0.288948242541877
0.00140464824255051,0.435358167864942,-2.01838061354876,0.21096829135571,0.27374946984395,0.758239207430022,-0.218310778762248,0.202929406391025
