"date","h_median","h_lo","h_hi","vol_median","vol_lo","vol_hi"
2003-03-01,0.000600895200927156,0.000237896314726232,0.00157024296507348,0.0245131638294031,0.0154238877954371,0.0396262913363524
2003-04-01,0.000971035743407734,0.000562453958755058,0.00199846360487131,0.0311614464267584,0.0237161117967313,0.0447041788300749
2003-05-01,0.000865061290818005,0.000467048385398325,0.00175972639419294,0.0294119242964143,0.021611302260584,0.0419490928887972
2003-06-01,0.00068377716435105,0.000375711465420234,0.00137403609087273,0.0261491331472202,0.0193832779843925,0.037067992808793
2003-07-01,0.000417172806880857,0.000222214331762349,0.00086266760970691,0.0204248086130778,0.0149068551935795,0.0293712037497088
2003-08-01,0.000260799464421184,0.000137680863852858,0.000539288397119132,0.0161492868084378,0.0117337489257636,0.023222583773541
2003-09-01,0.00017012206735788,9.46902752871119e-05,0.000334711222012205,0.013043085039893,0.00973089283093344,0.0182951147034449
2003-10-01,0.000119350032328065,7.4145242805322e-05,0.00021706569600214,0.0109247440394759,0.00861076319528774,0.0147331495615208
2003-11-01,0.000103681913097116,7.38271687368124e-05,0.000161178731992431,0.0101824315905935,0.00859227378153259,0.0126956186140113
2003-12-01,0.00128294521783412,0.000638324527506506,0.00355020970237255,0.0358182246605568,0.0252650851474224,0.059583636196296
2004-01-01,0.000414716051938689,0.000252600429848289,0.000736823561128245,0.020364578363882,0.0158934083773207,0.0271444941217965
2004-02-01,0.000204751341728291,0.000124582801985656,0.000327466291267566,0.0143091349049581,0.0111616666311826,0.0180960297100653
2004-03-01,0.00013016452752759,8.13714288013021e-05,0.000203786529896322,0.0114089669789859,0.00902061133190551,0.0142753819527297
2004-04-01,0.000120657290285564,7.00463314954754e-05,0.00019575420002133,0.0109844112398236,0.00836936864377926,0.0139912186753452
2004-05-01,0.000126147286459584,8.55344716948713e-05,0.000185123270960137,0.0112315309045376,0.00924848483238586,0.0136060012847323
2004-06-01,0.000152808970769089,9.64877549466264e-05,0.000233523446431952,0.0123615925660527,0.00982281807561488,0.0152814739613675
2004-07-01,0.000211042228805517,0.000137973319541637,0.000326252461462611,0.0145272925490442,0.0117462044738561,0.0180624600058411
2004-08-01,0.000264974881475767,0.00016636101536123,0.00043795198060058,0.0162780490684777,0.0128981012308491,0.0209273022771828
2004-09-01,0.000364342478394225,0.000214252390074005,0.000666345214699348,0.0190877572908455,0.0146373628114495,0.0258136633335788
2004-10-01,0.000541901448101605,0.0002910156906131,0.00110398070720467,0.0232787767741693,0.0170591820030475,0.033226205127951
2004-11-01,0.000856927152202696,0.000414746481564881,0.00196351478268607,0.0292733180934908,0.0203653254716167,0.04431156488645
2004-12-01,0.001424927451162,0.0006190662234066,0.00365635923220184,0.0377482112312888,0.0248810414453776,0.0604678363446373
2005-01-01,0.00245424671637049,0.000957784141799796,0.00699572842290226,0.0495403544231417,0.0309480878536913,0.0836404712020578
2005-02-01,0.00324921276882659,0.00124396527135054,0.0093839574991818,0.0570018663626604,0.0352698918534002,0.0968708289382402
2005-03-01,0.0035264601120697,0.001383400789899,0.00971621911489145,0.0593840055239599,0.0371940961699435,0.0985708837075708
2005-04-01,0.00328187882992785,0.00137552471173031,0.00845488230523389,0.0572876848016033,0.037088066972145,0.091950433958921
2005-05-01,0.00269108546101177,0.00123038580835235,0.00629063122665391,0.0518756731138187,0.0350768557364019,0.0793134996495169
2005-06-01,0.00201871882398391,0.0010140956742249,0.00425540587552035,0.0449301549517016,0.0318448688837762,0.0652334720486374
2005-07-01,0.00139722234835521,0.000776964606646931,0.00269184670615007,0.0373794375072073,0.0278740848575685,0.0518830098023435
2005-08-01,0.000913949964943111,0.000559265873622551,0.00161622371002033,0.0302316053980451,0.0236488027946988,0.0402022848855675
2005-09-01,0.000593142726608998,0.000391817358834074,0.000979577223826829,0.0243545216871323,0.0197943769498834,0.0312981984118388
2005-10-01,0.000429005704598589,0.000266326973139346,0.000702906882521957,0.0207124528870578,0.0163195273564937,0.0265123911128732
2005-11-01,0.000338447141624914,0.000235199544393075,0.000491958662248008,0.0183969329407082,0.0153362167561976,0.0221801411683517
2005-12-01,0.00018183222295403,0.000115733330688352,0.000274113737777638,0.0134845178984653,0.0107579426791721,0.0165563805760087
2006-01-01,9.91128576231436e-05,5.64229159274319e-05,0.000160444303844408,0.00995554406464778,0.00751151888285132,0.012666661116664
2006-02-01,0.000113776716367614,8.13241717336234e-05,0.00016043109970954,0.0106666169129492,0.00901799155763762,0.0126661398898615
2006-03-01,7.80960486571654e-05,4.95069709575029e-05,0.000123211154621253,0.00883719687780947,0.00703611902667251,0.0111000520098445
2006-04-01,5.48072564809193e-05,3.19583402264994e-05,9.26400879207436e-05,0.00740319231689407,0.00565317081172146,0.00962497209973845
